46500.00    -0.19110088
46500.10    -0.15473849
46500.20    -0.11737163
46500.30    -0.06869213
46500.40    -0.06475087
46500.50    -0.04999764
46500.60    -0.07252137
46500.70    -0.07610663
46500.80    -0.05557120
46500.90    -0.08642377
46501.00    -0.12196099
46501.10    -0.13772821
46501.20    -0.16890474
46501.30    -0.19008724
46501.40    -0.19077952
46501.50    -0.23465911
46501.60    -0.26612943
46501.70    -0.28108144
46501.80    -0.33063346
46501.90    -0.34116530
46502.00    -0.33107635
46502.10    -0.31690025
46502.20    -0.31825152
46502.30    -0.30880108
46502.40    -0.31477302
46502.50    -0.30456755
46502.60    -0.32569093
46502.70    -0.32056576
46502.80    -0.33251414
46502.90    -0.32600212
46503.00    -0.33013782
46503.10    -0.32465732
46503.20    -0.33685130
46503.30    -0.35290614
46503.40    -0.35739726
46503.50    -0.37156793
46503.60    -0.39061484
46503.70    -0.37755775
46503.80    -0.40498680
46503.90    -0.41672716
46504.00    -0.44174638
46504.10    -0.43731210
46504.20    -0.45861742
46504.30    -0.43977925
46504.40    -0.47961947
46504.50    -0.49452356
46504.60    -0.50575304
46504.70    -0.53008080
46504.80    -0.54696834
46504.90    -0.54768723
46505.00    -0.54875618
46505.10    -0.56936461
46505.20    -0.59500194
46505.30    -0.59359926
46505.40    -0.59704936
46505.50    -0.63007903
46505.60    -0.66446739
46505.70    -0.63762242
46505.80    -0.62866211
46505.90    -0.64576292
46506.00    -0.61138695
46506.10    -0.61928535
46506.20    -0.60797822
46506.30    -0.61191380
46506.40    -0.62980944
46506.50    -0.58179319
46506.60    -0.60214198
46506.70    -0.60417205
46506.80    -0.65449411
46506.90    -0.62306511
46507.00    -0.58865267
46507.10    -0.48677501
46507.20    -0.51584691
46507.30    -0.62157649
46507.40    -0.66703612
46507.50    -0.52690285
46507.60    -0.55995911
46507.70    -0.56263155
46507.80    -0.62992555
46507.90    -0.60439467
46508.00    -0.51269478
46508.10    -0.51334947
46508.20    -0.46380785
46508.30    -0.42761141
46508.40    -0.38986337
46508.50    -0.39989841
46508.60    -0.43744373
46508.70    -0.40303341
46508.80    -0.40908727
46508.90    -0.41927725
46509.00    -0.38601112
46509.10    -0.34113073
46509.20    -0.31056777
46509.30    -0.28655058
46509.40    -0.25522667
46509.50    -0.20396209
46509.60    -0.17964709
46509.70    -0.14697827
46509.80    -0.13495381
46509.90    -0.07101309
46510.00    -0.12738781
46510.10    -0.05412441
46510.20    -0.05066228
46510.30    -0.07495242
46510.40    -0.03023269
46510.50    -0.13277693
46510.60    -0.06187769
46510.70    -0.01820080
46510.80    -0.02200263
46510.90    -0.07292406
46511.00    -0.06551147
46511.10    -0.02924703
46511.20    -0.00992094
46511.30    -0.03129146
46511.40    -0.12315629
46511.50     0.18379278
46511.60     0.04833410
46511.70     0.05744511
46511.80     0.08217822
46511.90     0.05353682
46512.00     0.07011823
46512.10     0.00960739
46512.20    -0.00931393
46512.30    -0.07135035
46512.40    -0.15383096
46512.50    -0.17381014
46512.60    -0.21583031
46512.70    -0.15755863
46512.80    -0.20444408
46512.90    -0.22735496
46513.00    -0.19800512
46513.10    -0.20124002
46513.20    -0.26927516
46513.30    -0.23011242
46513.40    -0.23852301
46513.50    -0.29444349
46513.60    -0.28830981
46513.70    -0.27810785
46513.80    -0.26753035
46513.90    -0.24693811
46514.00    -0.22183968
46514.10    -0.21735258
46514.20    -0.20292060
46514.30    -0.20466693
46514.40    -0.25198185
46514.50    -0.23619984
